iter	Passed	Remaining
0	4	10200
1	8	10093
2	15	11930
3	21	12060
4	25	11485
5	29	11213
6	34	11146
7	39	11014
8	43	10912
9	49	11145
10	54	11146
11	59	11090
12	63	10903
13	68	10876
14	73	10906
15	78	11019
16	83	11026
17	88	10928
18	93	10922
19	98	10929
20	102	10871
21	108	11007
22	113	10959
23	117	10886
24	122	10883
25	126	10855
26	131	10851
27	135	10762
28	140	10746
29	145	10742
30	148	10652
31	153	10629
32	157	10585
33	161	10517
34	166	10544
35	170	10504
36	174	10445
37	179	10435
38	183	10430
39	188	10407
40	194	10497
41	199	10504
42	205	10567
43	215	10820
44	221	10833
45	225	10818
46	230	10782
47	234	10777
48	240	10812
49	245	10787
50	249	10759
51	253	10732
52	259	10739
53	263	10717
54	267	10685
55	272	10667
56	277	10658
57	281	10657
58	285	10618
59	290	10589
60	296	10638
61	300	10601
62	305	10611
63	311	10652
64	317	10669
65	323	10692
66	327	10673
67	333	10686
68	338	10689
69	342	10675
70	347	10655
71	351	10642
72	355	10615
73	362	10658
74	366	10623
75	371	10623
76	377	10666
77	382	10641
78	385	10598
79	389	10564
80	393	10534
81	399	10553
82	404	10563
83	412	10639
84	417	10636
85	422	10643
86	428	10652
87	434	10665
88	438	10641
89	443	10636
90	447	10614
91	453	10626
92	457	10600
93	461	10589
94	466	10589
95	473	10615
96	479	10644
97	484	10647
98	490	10656
99	495	10643
100	499	10625
101	504	10619
102	509	10616
103	514	10608
104	518	10598
105	522	10574
106	527	10559
107	533	10583
108	538	10568
109	542	10552
110	545	10520
111	550	10501
112	555	10496
113	560	10494
114	564	10482
115	568	10459
116	574	10469
117	579	10475
118	584	10469
119	588	10439
120	592	10424
121	598	10443
122	604	10458
123	609	10441
124	612	10416
125	617	10401
126	621	10388
127	626	10390
128	631	10378
129	635	10365
130	640	10355
131	644	10348
132	648	10329
133	652	10305
134	656	10284
135	661	10274
136	667	10292
137	672	10289
138	676	10270
139	680	10250
140	685	10247
141	689	10241
142	694	10239
143	700	10250
144	705	10246
145	711	10253
146	715	10242
147	720	10229
148	724	10219
149	729	10216
150	733	10203
151	738	10191
152	742	10176
153	745	10152
154	751	10154
155	756	10152
156	760	10137
157	764	10116
158	768	10108
159	775	10131
160	780	10132
161	784	10113
162	789	10112
163	794	10106
164	801	10122
165	805	10117
166	810	10113
167	816	10118
168	820	10106
169	824	10092
170	828	10071
171	832	10060
172	837	10055
173	842	10049
174	846	10034
175	850	10021
176	854	10008
177	859	10007
178	864	9998
179	869	9998
180	873	9986
181	878	9984
182	884	9990
183	890	9997
184	895	9992
185	901	10006
186	907	10016
187	913	10016
188	919	10022
189	925	10036
190	934	10074
191	944	10123
192	951	10140
193	957	10144
194	962	10138
195	970	10175
196	983	10245
197	995	10319
198	1010	10412
199	1019	10454
200	1028	10486
201	1036	10512
202	1048	10567
203	1055	10582
204	1067	10644
205	1077	10686
206	1083	10695
207	1091	10711
208	1100	10747
209	1107	10758
210	1124	10869
211	1146	11018
212	1155	11049
213	1161	11052
214	1168	11063
215	1178	11095
216	1185	11107
217	1192	11111
218	1202	11152
219	1209	11156
220	1218	11188
221	1230	11236
222	1237	11246
223	1244	11252
224	1248	11239
225	1253	11224
226	1257	11210
227	1264	11215
228	1269	11206
229	1273	11185
230	1277	11166
231	1282	11151
232	1287	11144
233	1291	11129
234	1296	11114
235	1301	11103
236	1304	11083
237	1309	11073
238	1315	11066
239	1319	11051
240	1324	11038
241	1329	11035
242	1334	11021
243	1340	11018
244	1344	11002
245	1349	10996
246	1354	10986
247	1361	10987
248	1365	10974
249	1369	10958
250	1375	10953
251	1379	10938
252	1383	10920
253	1388	10907
254	1393	10899
255	1398	10896
256	1403	10881
257	1407	10866
258	1411	10850
259	1417	10850
260	1422	10837
261	1426	10824
262	1430	10810
263	1434	10792
264	1440	10787
265	1444	10772
266	1449	10762
267	1453	10751
268	1458	10740
269	1464	10736
270	1470	10737
271	1475	10730
272	1481	10730
273	1486	10720
274	1490	10705
275	1494	10690
276	1498	10670
277	1502	10656
278	1508	10657
279	1512	10644
280	1517	10633
281	1525	10646
282	1529	10632
283	1534	10625
284	1540	10619
285	1545	10610
286	1550	10604
287	1556	10602
288	1562	10604
289	1567	10596
290	1573	10592
291	1579	10589
292	1586	10597
293	1591	10589
294	1596	10580
295	1601	10573
296	1608	10577
297	1613	10566
298	1616	10550
299	1620	10531
300	1624	10520
301	1629	10509
302	1633	10498
303	1637	10484
304	1641	10470
305	1646	10459
306	1651	10450
307	1656	10442
308	1663	10448
309	1669	10450
310	1675	10446
311	1681	10447
312	1686	10438
313	1694	10446
314	1704	10470
315	1711	10473
316	1718	10476
317	1721	10460
318	1726	10451
319	1730	10437
320	1735	10427
321	1740	10418
322	1743	10403
323	1748	10396
324	1754	10392
325	1761	10395
326	1765	10384
327	1770	10373
328	1777	10378
329	1783	10377
330	1787	10361
331	1791	10347
332	1795	10338
333	1802	10342
334	1807	10333
335	1812	10322
336	1816	10313
337	1821	10302
338	1826	10298
339	1831	10286
340	1834	10272
341	1839	10263
342	1845	10259
343	1850	10252
344	1855	10247
345	1860	10239
346	1866	10238
347	1872	10233
348	1876	10222
349	1882	10221
350	1886	10208
351	1891	10196
352	1894	10182
353	1899	10172
354	1904	10164
355	1908	10153
356	1913	10143
357	1916	10129
358	1920	10115
359	1926	10112
360	1930	10104
361	1934	10091
362	1939	10082
363	1945	10080
364	1952	10081
365	1956	10071
366	1960	10058
367	1969	10073
368	1976	10075
369	1981	10065
370	1984	10053
371	1991	10051
372	1995	10043
373	1999	10030
374	2004	10022
375	2009	10013
376	2013	10002
377	2017	9992
378	2021	9979
379	2025	9969
380	2030	9961
381	2035	9951
382	2040	9945
383	2043	9931
384	2050	9933
385	2057	9935
386	2062	9926
387	2066	9917
388	2072	9916
389	2077	9907
390	2081	9895
391	2084	9882
392	2091	9880
393	2095	9872
394	2099	9861
395	2103	9846
396	2107	9834
397	2111	9825
398	2116	9816
399	2120	9807
400	2124	9795
401	2128	9784
402	2132	9774
403	2137	9766
404	2142	9758
405	2146	9750
406	2151	9742
407	2156	9736
408	2161	9731
409	2167	9725
410	2171	9718
411	2176	9711
412	2182	9708
413	2187	9701
414	2191	9692
415	2195	9680
416	2199	9669
417	2204	9663
418	2208	9649
419	2212	9641
420	2216	9631
421	2220	9618
422	2224	9609
423	2229	9602
424	2234	9594
425	2237	9581
426	2241	9570
427	2247	9568
428	2254	9568
429	2258	9561
430	2264	9555
431	2269	9549
432	2273	9538
433	2276	9527
434	2280	9515
435	2285	9507
436	2290	9502
437	2294	9493
438	2298	9480
439	2303	9475
440	2308	9468
441	2312	9458
442	2316	9450
443	2322	9446
444	2326	9437
445	2332	9434
446	2337	9426
447	2342	9422
448	2347	9416
449	2352	9409
450	2356	9400
451	2361	9393
452	2365	9385
453	2369	9374
454	2374	9365
455	2377	9354
456	2382	9346
457	2386	9337
458	2391	9331
459	2396	9325
460	2400	9315
461	2405	9308
462	2410	9301
463	2414	9293
464	2420	9290
465	2424	9282
466	2428	9272
467	2433	9265
468	2440	9266
469	2445	9262
470	2449	9253
471	2454	9246
472	2460	9242
473	2465	9238
474	2469	9229
475	2474	9220
476	2477	9209
477	2482	9203
478	2489	9205
479	2494	9198
480	2498	9187
481	2502	9177
482	2507	9171
483	2510	9161
484	2514	9149
485	2518	9140
486	2522	9133
487	2528	9128
488	2532	9119
489	2538	9116
490	2544	9115
491	2549	9111
492	2554	9104
493	2561	9106
494	2569	9108
495	2575	9107
496	2581	9104
497	2586	9099
498	2591	9094
499	2596	9087
500	2600	9078
501	2604	9069
502	2608	9061
503	2613	9052
504	2617	9043
505	2621	9034
506	2625	9026
507	2630	9019
508	2634	9010
509	2639	9005
510	2644	9000
511	2650	8998
512	2655	8991
513	2659	8983
514	2665	8978
515	2670	8973
516	2674	8966
517	2680	8963
518	2684	8953
519	2688	8943
520	2693	8938
521	2698	8931
522	2702	8923
523	2706	8914
524	2713	8914
525	2719	8914
526	2725	8911
527	2730	8906
528	2740	8916
529	2748	8918
530	2755	8919
531	2762	8921
532	2768	8918
533	2774	8916
534	2781	8916
535	2786	8912
536	2791	8906
537	2797	8900
538	2802	8895
539	2806	8888
540	2810	8879
541	2814	8869
542	2819	8862
543	2825	8860
544	2830	8853
545	2834	8845
546	2839	8840
547	2846	8840
548	2850	8832
549	2854	8823
550	2859	8816
551	2864	8812
552	2869	8805
553	2874	8798
554	2878	8791
555	2882	8783
556	2887	8776
557	2891	8768
558	2896	8761
559	2900	8753
560	2904	8745
561	2909	8738
562	2913	8731
563	2917	8722
564	2921	8713
565	2925	8705
566	2930	8698
567	2935	8692
568	2940	8687
569	2945	8680
570	2950	8675
571	2955	8671
572	2959	8662
573	2963	8652
574	2966	8642
575	2971	8636
576	2978	8636
577	2982	8628
578	2987	8622
579	2992	8614
580	2997	8610
581	3004	8609
582	3009	8605
583	3015	8601
584	3020	8595
585	3023	8586
586	3028	8579
587	3032	8572
588	3037	8567
589	3042	8560
590	3047	8554
591	3051	8545
592	3055	8539
593	3060	8532
594	3064	8524
595	3069	8518
596	3072	8508
597	3078	8504
598	3083	8498
599	3087	8491
600	3092	8484
601	3096	8476
602	3101	8470
603	3106	8464
604	3110	8456
605	3114	8448
606	3119	8444
607	3125	8440
608	3130	8435
609	3135	8428
610	3139	8420
611	3144	8417
612	3148	8408
613	3154	8404
614	3159	8399
615	3164	8392
616	3168	8386
617	3173	8380
618	3177	8371
619	3183	8369
620	3189	8365
621	3194	8361
622	3199	8354
623	3203	8348
624	3209	8344
625	3213	8336
626	3217	8329
627	3221	8320
628	3226	8313
629	3231	8310
630	3236	8304
631	3241	8298
632	3245	8291
633	3251	8287
634	3256	8281
635	3260	8274
636	3264	8266
637	3268	8258
638	3273	8252
639	3279	8249
640	3283	8242
641	3287	8233
642	3291	8225
643	3296	8219
644	3303	8219
645	3307	8212
646	3311	8204
647	3316	8197
648	3320	8191
649	3326	8187
650	3332	8184
651	3336	8176
652	3340	8169
653	3346	8166
654	3350	8160
655	3355	8152
656	3359	8144
657	3364	8140
