iter	RMSE
235	89940.30734
236	89856.63152
237	89733.64834
238	89630.72749
239	89455.24228
240	89389.25412
241	89292.26244
242	89139.84274
243	89069.35777
244	88975.08088
245	88847.00403
246	88720.83083
247	88648.38607
248	88533.59617
249	88456.59787
250	88341.13776
251	88213.96764
252	88100.68476
253	88042.7439
254	87971.87965
255	87805.74253
256	87740.07955
257	87626.01129
258	87500.76322
259	87394.98818
260	87287.36805
261	87182.20883
262	87077.69362
263	87016.05924
264	86952.72432
265	86852.20966
266	86740.35133
267	86668.68637
268	86588.21513
269	86442.6387
270	86371.49985
271	86258.48582
272	86185.86877
273	86077.72665
274	86016.59417
275	85924.46938
276	85839.27772
277	85785.29329
278	85718.80221
279	85654.81261
280	85560.61885
281	85484.08691
282	85427.58007
283	85371.60375
284	85278.09999
285	85212.92517
286	85164.87675
287	85081.34994
288	85008.27954
289	84938.48086
290	84855.00811
291	84746.11728
292	84654.31592
293	84606.1518
294	84544.70404
295	84462.11872
296	84395.41296
297	84299.6394
298	84244.13563
299	84165.10815
300	84061.21964
301	83976.38285
302	83895.31007
303	83803.07838
304	83723.26345
305	83679.06789
306	83593.10996
307	83496.08298
308	83440.65075
309	83374.96388
310	83304.32722
311	83218.10107
312	83136.18094
313	83044.04881
314	82996.72572
315	82937.64207
316	82842.61906
317	82766.45869
318	82671.80289
319	82612.99753
320	82543.96752
321	82470.6194
322	82389.03096
323	82343.14244
324	82282.94688
325	82174.51206
326	82126.65061
327	82055.39371
328	82005.82697
329	81955.59045
330	81902.76766
331	81849.70564
332	81783.83814
333	81671.69742
334	81621.1968
335	81554.6543
336	81491.89532
337	81410.91001
338	81340.98307
339	81272.89528
340	81225.11972
341	81175.09539
342	81138.36722
343	81054.39719
344	80965.49491
345	80907.25915
346	80832.20398
347	80745.56429
348	80697.37647
349	80612.1722
350	80526.82935
351	80454.83393
352	80371.53864
353	80312.83703
354	80226.23783
355	80175.72084
356	80108.49674
357	80052.62621
358	79980.0803
359	79887.06172
360	79787.32146
361	79710.93426
362	79628.68995
363	79560.58018
364	79470.25578
365	79369.63391
366	79289.54587
367	79194.44513
368	79173.00199
369	79109.99952
370	79059.701
371	78956.59284
372	78903.3946
373	78820.69226
374	78729.00583
375	78676.16926
376	78600.54033
377	78557.98462
378	78491.69876
379	78422.30858
380	78343.50107
381	78295.64698
382	78215.58254
