iter	RMSE
0	0.4440507685
1	0.3870647995
2	0.3400986165
3	0.310107476
4	0.2837136164
5	0.2627020525
6	0.2461998505
7	0.2340156318
8	0.2238981055
9	0.2153923231
10	0.2088750392
11	0.2038138241
12	0.1991086871
13	0.1955568681
14	0.192523627
15	0.1903665414
16	0.1882225286
17	0.1870017916
18	0.1857137608
19	0.1835643803
20	0.1825519582
21	0.1812032221
22	0.179724146
23	0.1783578534
24	0.1775563627
25	0.1766724212
26	0.1756520009
27	0.1747657973
28	0.1738864472
29	0.1729024724
30	0.1718493861
31	0.1707289044
32	0.1700467496
33	0.1692363258
34	0.1684572547
35	0.1677461787
36	0.1671600073
37	0.1657474371
38	0.1646298763
39	0.1639958667
40	0.1628233527
41	0.1620581708
42	0.1613675478
43	0.1607646957
44	0.159738285
45	0.1592388172
46	0.1586523689
47	0.1577335615
48	0.1570631454
49	0.1564372069
50	0.1559514484
51	0.1550067253
52	0.1541527547
53	0.153412218
54	0.1528167415
55	0.1520018554
56	0.1515871295
57	0.1507571695
58	0.1497799102
59	0.1491647602
60	0.1487429193
61	0.1483686671
62	0.1477578422
63	0.1471526107
64	0.1465725716
65	0.1460251057
66	0.1457880127
67	0.1450881087
68	0.1445021763
69	0.1441961664
70	0.1435991127
71	0.1430258392
72	0.1424110782
73	0.1420113701
74	0.1413553631
75	0.1409569007
76	0.1405884398
77	0.1400839055
78	0.139795338
79	0.1394180177
80	0.1388062723
81	0.1384918642
82	0.1383620951
83	0.1378972945
84	0.1374864436
85	0.1367953552
86	0.1363491446
87	0.1360220925
88	0.1354940591
89	0.1352284839
90	0.1347889703
91	0.1344219205
92	0.1339815815
93	0.1335580932
94	0.1332009224
95	0.1327912681
96	0.1322420755
97	0.1318103269
98	0.1313614135
99	0.1310120809
100	0.1305588282
101	0.1302197347
102	0.1300250018
103	0.1297276929
104	0.1294210825
105	0.1288237673
106	0.1280589219
107	0.1275686141
108	0.1272969288
109	0.1268330697
110	0.1264964765
111	0.1261283974
112	0.1258084267
113	0.1255816991
114	0.1251640281
115	0.1249219063
116	0.1247195111
117	0.1244792212
118	0.1241065436
119	0.1237799195
120	0.1234613833
121	0.123228377
122	0.1230260489
123	0.1227528498
124	0.1224945243
125	0.1219708423
126	0.1216726746
127	0.121342892
128	0.1209854825
129	0.1205646593
130	0.1202382391
131	0.1199391497
132	0.119510982
133	0.1190404671
134	0.1187337517
135	0.1183887459
136	0.1181084274
137	0.1177301339
138	0.1174532679
139	0.1172863764
140	0.11709392
141	0.1167118866
142	0.1164338144
143	0.1163141921
144	0.1158544942
145	0.1156744503
146	0.1153062327
147	0.1149719238
148	0.1146217346
149	0.1144940912
150	0.1142949925
151	0.1138868722
152	0.1136550905
153	0.1133930199
154	0.113221792
155	0.1130658597
156	0.112768454
157	0.1123116864
158	0.1120651517
159	0.1119348815
160	0.1115823567
161	0.1113922387
162	0.1110469442
163	0.1106694442
164	0.1105990125
165	0.1102133797
166	0.1100822095
167	0.1098782472
168	0.1095184022
169	0.1091873841
170	0.1089426934
171	0.1087428268
172	0.1084165629
173	0.1081433907
174	0.1077844547
175	0.1076083004
176	0.10738216
177	0.1073042794
178	0.1070127224
179	0.106883885
180	0.1066011799
181	0.1063600034
182	0.1060805803
183	0.1058240294
184	0.1054527024
185	0.1052615831
186	0.1049848237
187	0.104779617
188	0.1046761172
189	0.104505603
190	0.1043310848
191	0.1041734649
192	0.1039049404
193	0.103654821
194	0.1034607788
195	0.103296646
196	0.1030909585
197	0.1028779072
198	0.1025939307
199	0.102251922
200	0.1020479323
201	0.10186118
202	0.1015569918
203	0.1012919065
204	0.1010896004
205	0.1009372058
206	0.100697296
207	0.1004451789
208	0.100277096
209	0.1000751097
210	0.09981533087
211	0.09964960378
212	0.09943221947
213	0.09930570056
214	0.09911927833
215	0.09898478203
216	0.09880969133
217	0.09850142637
218	0.09828452879
219	0.09806033238
220	0.09787558818
221	0.09766507998
222	0.09739965774
223	0.09716893191
224	0.0970125777
225	0.09672170989
226	0.09652787688
227	0.09629333307
228	0.09613306014
229	0.09597434418
230	0.09578084435
231	0.09564793891
232	0.09539568211
233	0.09516730577
234	0.0949072768
235	0.09479072022
236	0.094576286
237	0.09437899315
238	0.09427561631
239	0.09407897833
240	0.09392073982
241	0.09367172844
242	0.09344118848
243	0.09329802084
244	0.09302469337
245	0.09273047043
246	0.09251105961
247	0.09229374244
248	0.09213494742
249	0.09201504262
250	0.09185829427
251	0.0916921077
252	0.09155914208
253	0.09142725478
254	0.09128149121
255	0.09114520564
256	0.09097427923
257	0.09079570944
258	0.09072295337
259	0.09054672773
260	0.0904149746
261	0.09026850161
262	0.09021220896
263	0.09000371829
264	0.08980047426
265	0.08954229101
266	0.08938001876
267	0.08922714277
268	0.08901692351
269	0.08894835489
270	0.08885646998
271	0.08861601777
272	0.08834684387
273	0.08806312928
274	0.08792435389
275	0.08775516206
276	0.08760503907
277	0.08751705243
278	0.08741801382
279	0.08724735212
280	0.0871455925
281	0.08694413866
282	0.08685784599
283	0.08677831427
284	0.08664094266
285	0.08658583962
286	0.08639966971
287	0.08616686543
288	0.08607757928
289	0.085957684
290	0.08577160277
291	0.08559769369
292	0.08548819936
293	0.08534070356
294	0.08520574388
295	0.08506439766
296	0.08488638102
297	0.08465608256
298	0.08440518689
299	0.0842172977
300	0.08410816825
301	0.08392534304
302	0.08369789778
303	0.08359406621
304	0.08346085435
305	0.08331714334
306	0.08322247759
307	0.08305236141
308	0.08294776193
309	0.08285249475
310	0.08265372089
311	0.08257976799
312	0.08245641929
313	0.08229570208
314	0.08206883624
315	0.08194528942
316	0.08170361828
317	0.08157799816
318	0.08141480003
319	0.08129889274
320	0.08119825113
321	0.081003815
322	0.08084140135
323	0.08064031426
324	0.08039199678
325	0.08025743735
326	0.08014996771
327	0.08003345384
328	0.0798335379
329	0.07973701395
330	0.07960980039
331	0.07945743262
332	0.07919121212
333	0.07907824729
334	0.07899061166
335	0.07877356813
336	0.07865311221
337	0.07851845679
338	0.07841477481
339	0.07829386611
340	0.07821990203
341	0.07807080155
342	0.07795559242
343	0.07788595629
344	0.07765246546
345	0.07756360521
346	0.07741492126
347	0.07736424799
348	0.07725557111
349	0.07706791791
350	0.07699328884
351	0.07690551941
352	0.07674077294
353	0.07661210642
354	0.07652636309
355	0.07643861341
356	0.07628468249
357	0.07620414346
358	0.07609327646
359	0.07599676862
360	0.0757448728
361	0.07557611093
362	0.07542947583
363	0.07528652232
364	0.07511628098
365	0.07495090652
366	0.0747958671
367	0.0746865071
368	0.07459230117
369	0.07435773942
370	0.07426236823
371	0.07416969279
372	0.07409130217
373	0.07401225225
374	0.07384188246
375	0.07362377039
376	0.07350137943
377	0.07337855314
378	0.07321218662
379	0.07308524346
380	0.07293436432
381	0.07277768026
382	0.07265005863
383	0.07245207077
384	0.07234475774
385	0.0722794973
386	0.07214493045
387	0.07202755274
388	0.07185585012
389	0.07171788618
390	0.07156106495
391	0.07135318172
392	0.07127111184
393	0.07110618724
394	0.07097723318
395	0.07083055407
396	0.0706988064
397	0.07051994946
398	0.07033347445
399	0.07017944818
400	0.07004529798
401	0.06998448194
402	0.06979349698
403	0.0696203833
404	0.06947854278
405	0.06939912975
406	0.06931588384
407	0.06912839849
408	0.06901069039
409	0.06885786407
410	0.06874015528
411	0.06864699349
412	0.06850795846
413	0.06831513339
414	0.06819845769
415	0.06810036808
416	0.06796646049
417	0.06786401555
418	0.06777101337
419	0.06763417051
420	0.06753279746
421	0.06734951679
422	0.06725708759
423	0.06713128883
424	0.06696354872
425	0.06684846465
426	0.06675227151
427	0.06664337646
428	0.06655302324
429	0.06644087891
430	0.06637314795
431	0.06634321472
432	0.0662840661
433	0.06617487913
434	0.06604127619
435	0.06598426415
436	0.06597127959
437	0.06588603848
438	0.06578247295
439	0.0656463823
440	0.06557175481
441	0.065502737
442	0.06545120072
443	0.06534496204
444	0.06522030882
445	0.0651176391
446	0.06500194785
447	0.06485598992
448	0.06479563365
449	0.06471367243
450	0.06462653385
451	0.06453202467
452	0.06444191601
453	0.06435143352
454	0.06423703265
455	0.06411026724
456	0.06401704322
457	0.06391096537
458	0.0637955583
459	0.06371083807
460	0.06359632659
461	0.06345314743
462	0.06340316036
463	0.06334878759
464	0.06324636306
465	0.0631062764
466	0.0630144795
467	0.06288918475
468	0.06275861293
469	0.06274097463
470	0.06263313433
471	0.06254853922
472	0.06244665226
473	0.06234817049
474	0.06222242498
475	0.0621801149
476	0.06207269613
477	0.0619247064
478	0.06176351641
479	0.06157620855
480	0.06144591074
481	0.0613079745
482	0.06118755712
483	0.06109122318
484	0.06100570813
485	0.0609133438
486	0.06085425721
487	0.06077189142
488	0.06067577722
489	0.06057917199
490	0.06049911427
491	0.06027016197
492	0.06019500539
493	0.06010780869
494	0.06001883532
495	0.05991702664
496	0.05979997222
497	0.05971461064
498	0.05963577853
499	0.05953013049
500	0.0594658553
501	0.059407113
502	0.05931711715
503	0.05924405523
504	0.05918613168
505	0.05905980434
506	0.05895518873
507	0.05882500749
508	0.05870706524
509	0.05866603327
510	0.05855528458
511	0.0584793778
512	0.05839257263
513	0.05831742064
514	0.05821209258
515	0.05808151599
516	0.0580353349
517	0.05797218195
518	0.05789532675
519	0.05775930952
520	0.05761040811
521	0.05753271819
522	0.05748093254
523	0.05745429581
524	0.05740392063
525	0.05726064258
526	0.0571251905
527	0.05703477751
528	0.05691830576
529	0.05684202985
530	0.05677918417
531	0.05665431663
532	0.05657424328
533	0.05650816499
534	0.05636717197
535	0.05628512073
536	0.05613580373
537	0.05598380076
538	0.05588574693
539	0.05583396033
540	0.05582244328
541	0.0557133
542	0.05561144398
543	0.05553917194
544	0.05548877166
545	0.05540260288
546	0.05534404292
547	0.05526228077
548	0.0551538797
549	0.05509003102
550	0.05499852127
551	0.05489869499
552	0.05481874502
553	0.05469666546
554	0.05462862178
555	0.05454878851
556	0.05449989274
557	0.05436751506
558	0.05433589528
559	0.05424242697
