"Step","fcn_resnet50_tversky_loss - train_iou","fcn_resnet50_tversky_loss - train_iou__MIN","fcn_resnet50_tversky_loss - train_iou__MAX","fcn_resnet50_dice_loss - train_iou","fcn_resnet50_dice_loss - train_iou__MIN","fcn_resnet50_dice_loss - train_iou__MAX","fcn_resnet50_binary_loss - train_iou","fcn_resnet50_binary_loss - train_iou__MIN","fcn_resnet50_binary_loss - train_iou__MAX"
"30","0.3143671117722988","0.3143671117722988","0.3143671117722988","0.2822797717526555","0.2822797717526555","0.2822797717526555","0.8197199702262878","0.8197199702262878","0.8197199702262878"
"31","0.34365130960941315","0.34365130960941315","0.34365130960941315","0.26112174906302243","0.26112174906302243","0.26112174906302243","0.7132650464773178","0.7132650464773178","0.7132650464773178"
"35","0.3349471092224121","0.3349471092224121","0.3349471092224121","0.28895244002342224","0.28895244002342224","0.28895244002342224","0.8354349434375763","0.8354349434375763","0.8354349434375763"
"36","0.3339319936931133","0.3339319936931133","0.3339319936931133","0.2937347935512662","0.2937347935512662","0.2937347935512662","0.8442844748497009","0.8442844748497009","0.8442844748497009"
"37","0.33098116889595985","0.33098116889595985","0.33098116889595985","0.30738667771220207","0.30738667771220207","0.30738667771220207","0.8257090449333191","0.8257090449333191","0.8257090449333191"
"38","0.32284848392009735","0.32284848392009735","0.32284848392009735","0.2999014528468251","0.2999014528468251","0.2999014528468251","0.8284092545509338","0.8284092545509338","0.8284092545509338"
"39","0.3221667520701885","0.3221667520701885","0.3221667520701885","0.31109105329960585","0.31109105329960585","0.31109105329960585","0.8127827048301697","0.8127827048301697","0.8127827048301697"
"40","0.32971296831965446","0.32971296831965446","0.32971296831965446","0.29962572478689253","0.29962572478689253","0.29962572478689253","0.8360494375228882","0.8360494375228882","0.8360494375228882"
"41","0.3056293874979019","0.3056293874979019","0.3056293874979019","0.30113676749169827","0.30113676749169827","0.30113676749169827","0.8700218200683594","0.8700218200683594","0.8700218200683594"
"42","0.30093103647232056","0.30093103647232056","0.30093103647232056","0.29664301313459873","0.29664301313459873","0.29664301313459873","0.8181411921977997","0.8181411921977997","0.8181411921977997"
"46","0.29674048349261284","0.29674048349261284","0.29674048349261284","0.2869761739857495","0.2869761739857495","0.2869761739857495","0.8505592346191406","0.8505592346191406","0.8505592346191406"
"47","0.29490237310528755","0.29490237310528755","0.29490237310528755","0.3025256637483835","0.3025256637483835","0.3025256637483835","0.8560377359390259","0.8560377359390259","0.8560377359390259"
"48","0.3279683366417885","0.3279683366417885","0.3279683366417885","0.32291951961815357","0.32291951961815357","0.32291951961815357","0.8316229283809662","0.8316229283809662","0.8316229283809662"
"49","0.29301320016384125","0.29301320016384125","0.29301320016384125","0.3161098435521126","0.3161098435521126","0.3161098435521126","0.824630618095398","0.824630618095398","0.824630618095398"
"50","0.30249564722180367","0.30249564722180367","0.30249564722180367","0.33054469525814056","0.33054469525814056","0.33054469525814056","0.8620655536651611","0.8620655536651611","0.8620655536651611"
"51","0.29846252873539925","0.29846252873539925","0.29846252873539925","0.3480539657175541","0.3480539657175541","0.3480539657175541","0.8663807809352875","0.8663807809352875","0.8663807809352875"
"52","0.2729259952902794","0.2729259952902794","0.2729259952902794","0.3320431560277939","0.3320431560277939","0.3320431560277939","0.8670965135097504","0.8670965135097504","0.8670965135097504"
"53","0.2745523229241371","0.2745523229241371","0.2745523229241371","0.3576214462518692","0.3576214462518692","0.3576214462518692","0.7993844747543335","0.7993844747543335","0.7993844747543335"
