"Step","fcn_resnet50_tversky_loss - train_iou","fcn_resnet50_tversky_loss - train_iou__MIN","fcn_resnet50_tversky_loss - train_iou__MAX","fcn_resnet50_dice_loss - train_iou","fcn_resnet50_dice_loss - train_iou__MIN","fcn_resnet50_dice_loss - train_iou__MAX","fcn_resnet50_binary_loss - train_iou","fcn_resnet50_binary_loss - train_iou__MIN","fcn_resnet50_binary_loss - train_iou__MAX"
"2","0.3235401026904583","0.3235401026904583","0.3235401026904583","0.3162973076105118","0.3162973076105118","0.3162973076105118","0.31856995820999146","0.31856995820999146","0.31856995820999146"
"3","0.2622002176940441","0.2622002176940441","0.2622002176940441","0.283100850880146","0.283100850880146","0.283100850880146","0.29180848971009254","0.29180848971009254","0.29180848971009254"
"4","0.2748611457645893","0.2748611457645893","0.2748611457645893","0.2665509358048439","0.2665509358048439","0.2665509358048439","0.41915950924158096","0.41915950924158096","0.41915950924158096"
"5","0.27129541896283627","0.27129541896283627","0.27129541896283627","0.2999453544616699","0.2999453544616699","0.2999453544616699","0.3214193880558014","0.3214193880558014","0.3214193880558014"
"6","0.25397383235394955","0.25397383235394955","0.25397383235394955","0.31252236291766167","0.31252236291766167","0.31252236291766167","0.5235916823148727","0.5235916823148727","0.5235916823148727"
"7","0.25355174858123064","0.25355174858123064","0.25355174858123064","0.29301972314715385","0.29301972314715385","0.29301972314715385","0.6104744076728821","0.6104744076728821","0.6104744076728821"
"8","0.2559654451906681","0.2559654451906681","0.2559654451906681","0.3050672821700573","0.3050672821700573","0.3050672821700573","0.8026679754257202","0.8026679754257202","0.8026679754257202"
"9","0.26280661672353745","0.26280661672353745","0.26280661672353745","0.34613772481679916","0.34613772481679916","0.34613772481679916","0.731932133436203","0.731932133436203","0.731932133436203"
"13","0.27547294460237026","0.27547294460237026","0.27547294460237026","0.2949021141976118","0.2949021141976118","0.2949021141976118","0.8255588114261627","0.8255588114261627","0.8255588114261627"
"14","0.28441647067666054","0.28441647067666054","0.28441647067666054","0.2764447256922722","0.2764447256922722","0.2764447256922722","0.8074866831302643","0.8074866831302643","0.8074866831302643"
"15","0.29077770560979843","0.29077770560979843","0.29077770560979843","0.28351306542754173","0.28351306542754173","0.28351306542754173","0.8026269972324371","0.8026269972324371","0.8026269972324371"
"16","0.30358631908893585","0.30358631908893585","0.30358631908893585","0.28834567219018936","0.28834567219018936","0.28834567219018936","0.7963733971118927","0.7963733971118927","0.7963733971118927"
"17","0.29435067623853683","0.29435067623853683","0.29435067623853683","0.2729961732402444","0.2729961732402444","0.2729961732402444","0.8366549015045166","0.8366549015045166","0.8366549015045166"
"18","0.3056849092245102","0.3056849092245102","0.3056849092245102","0.28400942869484425","0.28400942869484425","0.28400942869484425","0.7896915674209595","0.7896915674209595","0.7896915674209595"
"19","0.2996411621570587","0.2996411621570587","0.2996411621570587","0.2673913352191448","0.2673913352191448","0.2673913352191448","0.8029350638389587","0.8029350638389587","0.8029350638389587"
"20","0.36277715116739273","0.36277715116739273","0.36277715116739273","0.2592541719786823","0.2592541719786823","0.2592541719786823","0.8187983334064484","0.8187983334064484","0.8187983334064484"
"24","0.3131222277879715","0.3131222277879715","0.3131222277879715","0.2828037147410214","0.2828037147410214","0.2828037147410214","0.8323071897029877","0.8323071897029877","0.8323071897029877"
"25","0.3163933493196964","0.3163933493196964","0.3163933493196964","0.26849662605673075","0.26849662605673075","0.26849662605673075","0.8265916407108307","0.8265916407108307","0.8265916407108307"
"26","0.3044518306851387","0.3044518306851387","0.3044518306851387","0.26470602327026427","0.26470602327026427","0.26470602327026427","0.8069445490837097","0.8069445490837097","0.8069445490837097"
"27","0.30176936835050583","0.30176936835050583","0.30176936835050583","0.2786992995534092","0.2786992995534092","0.2786992995534092","0.8218024671077728","0.8218024671077728","0.8218024671077728"
"28","0.31781553104519844","0.31781553104519844","0.31781553104519844","0.28397103725001216","0.28397103725001216","0.28397103725001216","0.8322689831256866","0.8322689831256866","0.8322689831256866"
"29","0.327249001711607","0.327249001711607","0.327249001711607","0.28297396190464497","0.28297396190464497","0.28297396190464497","0.8108468353748322","0.8108468353748322","0.8108468353748322"
