iter	Passed	Remaining
399	56359	14089
400	56469	13941
401	56587	13794
402	56699	13647
403	56830	13504
404	56946	13357
405	57069	13213
406	57196	13069
407	57319	12925
408	57437	12779
409	57555	12634
410	57669	12488
411	57796	12344
412	57936	12204
413	58070	12062
414	58195	11919
415	58304	11773
416	58440	11632
417	58561	11488
418	58679	11343
419	58790	11198
420	58910	11054
421	59045	10913
422	59164	10769
423	59286	10626
424	59400	10482
425	59511	10337
426	59630	10194
427	59744	10050
428	59862	9907
429	59987	9765
430	60130	9626
431	60240	9482
432	60352	9338
433	60466	9195
434	60586	9053
435	60702	8910
436	60812	8766
437	60928	8624
438	61036	8481
439	61169	8341
440	61291	8200
441	61410	8058
442	61523	7916
443	61640	7774
444	61766	7634
445	61892	7493
446	62008	7352
447	62116	7209
448	62270	7073
449	62404	6933
450	62545	6795
451	62690	6657
452	62846	6520
453	62984	6381
454	63120	6242
455	63234	6101
456	63364	5962
457	63522	5825
458	63638	5684
459	63758	5544
460	63869	5403
461	64032	5266
462	64214	5131
463	64404	4996
464	64611	4863
465	64785	4726
466	64975	4591
467	65157	4455
468	65334	4318
469	65703	4193
470	66105	4070
471	66321	3934
472	66471	3794
473	66618	3654
474	66776	3514
475	66974	3376
476	67151	3237
477	67326	3098
478	67495	2959
479	67729	2822
480	67937	2683
481	68179	2546
482	68383	2406
483	68645	2269
484	68882	2130
485	69145	1991
486	69437	1853
487	69691	1713
488	69967	1573
489	70227	1433
490	70507	1292
491	70727	1150
492	71071	1009
493	71505	868
494	71724	724
495	71924	580
496	72103	435
497	72309	290
498	72486	145
499	72711	0
