iter	Accuracy	MultiClass
107	0.7442884615	0.619486947
108	0.7444423077	0.6191746203
109	0.7454615385	0.6181612972
110	0.7460576923	0.6169639866
111	0.7460384615	0.6165255755
112	0.7464038462	0.615909319
113	0.7468653846	0.6141869563
114	0.7472884615	0.6135313991
115	0.7478653846	0.6131264378
116	0.7479807692	0.6126619952
117	0.7485384615	0.6118703745
118	0.7491923077	0.6106057909
119	0.7495576923	0.6101169714
120	0.7499423077	0.6098664844
121	0.7501346154	0.6091571109
122	0.75025	0.6087544788
123	0.7510961538	0.6078531663
124	0.7508461538	0.6072615236
125	0.75125	0.6066427708
126	0.7514615385	0.6059299848
127	0.7517692308	0.605763084
128	0.7521346154	0.6053134159
129	0.7529038462	0.604477243
130	0.7531538462	0.6035466565
131	0.7535384615	0.6027818712
132	0.7540192308	0.6023795929
133	0.7549038462	0.6013542593
134	0.7548269231	0.6009872173
135	0.7549615385	0.6004723845
136	0.7552884615	0.5999854851
137	0.7555769231	0.599389325
138	0.7560192308	0.5984629873
139	0.7560769231	0.5980088749
140	0.7563461538	0.5972699934
141	0.7566346154	0.5969057534
142	0.7568653846	0.5964734466
143	0.7575192308	0.5960177878
144	0.7576346154	0.5955135987
145	0.7580769231	0.594651379
146	0.7583461538	0.5942038416
147	0.7588076923	0.5936796029
148	0.7590961538	0.593202914
149	0.7589807692	0.5927548283
150	0.7589615385	0.5922508772
151	0.7587307692	0.5913031176
152	0.7592115385	0.5907915402
153	0.7595	0.590375319
154	0.7596730769	0.5898391849
155	0.75975	0.5897158104
156	0.7602692308	0.5889974307
157	0.761	0.5878128433
158	0.7614038462	0.5867070325
159	0.7626346154	0.58532178
160	0.7633076923	0.5846257981
161	0.7634807692	0.5841365294
162	0.7644423077	0.5833725543
163	0.7650192308	0.5820247393
164	0.76525	0.5814427584
165	0.7655192308	0.5807809844
166	0.7656730769	0.5800489329
167	0.766	0.5795596766
168	0.7667307692	0.5785799585
169	0.7671346154	0.5782478516
170	0.7673076923	0.5776391596
171	0.76775	0.5770933285
172	0.7683269231	0.5764757366
173	0.7685961538	0.576022983
174	0.7692115385	0.5752678526
175	0.7695	0.5745426235
176	0.7697115385	0.5740777058
177	0.7701153846	0.5732043673
178	0.7701346154	0.5728081049
179	0.7704038462	0.5720550304
180	0.7704423077	0.5718478558
181	0.7710576923	0.5712832667
182	0.7714615385	0.570805342
183	0.7721538462	0.5699755579
184	0.7729807692	0.5689823677
185	0.7728653846	0.5684814764
186	0.7728653846	0.5681089757
187	0.7736538462	0.5677327565
188	0.7742115385	0.5670376632
189	0.774	0.5668310744
190	0.7740769231	0.566626056
191	0.7746538462	0.5659293722
192	0.7750769231	0.5654179146
193	0.7754423077	0.5645821717
194	0.7758076923	0.563765214
195	0.7758461538	0.5634875109
196	0.7762115385	0.5631653652
197	0.7765961538	0.5624342619
198	0.7769038462	0.5618180079
199	0.7773269231	0.561486054
200	0.7776538462	0.5609727303
201	0.7779423077	0.5603473047
202	0.7781923077	0.5600002431
203	0.7786923077	0.559347813
204	0.7790769231	0.5584085862
205	0.7790769231	0.5576797446
206	0.7795192308	0.5571550612
207	0.7800576923	0.5564318888
208	0.7802307692	0.5556865745
209	0.7805576923	0.5553493285
210	0.7806153846	0.5550957168
211	0.7808846154	0.5549037078
212	0.7811730769	0.5547552658
213	0.7816346154	0.5542235926
214	0.7818461538	0.5536405756
215	0.7820961538	0.553070834
216	0.7824230769	0.5524328626
217	0.78275	0.5519820487
218	0.7833076923	0.5508636604
219	0.7833269231	0.5506099792
220	0.7833653846	0.5501698137
221	0.7841346154	0.5489789399
222	0.7839807692	0.5484173191
223	0.7844038462	0.5478680994
224	0.7851346154	0.5468090176
225	0.7851538462	0.546477512
226	0.7852692308	0.5458459423
227	0.7854807692	0.5453112576
228	0.7857692308	0.5449560014
229	0.7859230769	0.5445001294
230	0.7861730769	0.5443234283
231	0.7865384615	0.5439532125
232	0.7868653846	0.5432148396
233	0.7872884615	0.542816237
234	0.7876346154	0.542386352
235	0.7880384615	0.5420517089
